user,tweet
AccionNacional,"Ya sabes que hacer, pintemos Aguascalientes, Durango, Tamaulipas, Quintana Roo, Hidalgo y Oaxaca de azul🔵⚪

#VotaPAN https://t.co/5S014zLk8J"
AccionNacional,"Por ti y tu familia, vamos juntos a defender México.

#VotaPAN https://t.co/VBmCm5cwKZ"
AccionNacional,"Con paso firme, vamos a construir un mejor México para todas y todos.

El próximo 5 de junio, #VotaPAN. https://t.co/cY2LOYXTPw"
AccionNacional,"Nuestro total reconocimiento a las mujeres y hombres que conforman la @SEMAR_mx, por su compromiso y valentía para salvaguardar siempre a nuestra nación🇲🇽.

#DíaDeLaMarina https://t.co/JwN4d9OA9O"
AccionNacional,"RT @TereJimenezE: CIERRE DE CAMPAÑA EN EL SURORIENTE DE LA CIUDAD 

Me dio mucho gusto saludarlos y tener la oportunidad de agradecerles de…"
AccionNacional,"RT @TrucoVerastegui: Defendamos a Victoria, votando este 5 de Junio por la Coalición #VaPorTamaulipas para recuperar juntos la belleza y la…"
AccionNacional,"RT @josejoseantonio: Los jóvenes duranguenses fueron el gran motor de esta campaña. Hoy, a un día de finalizar, el #Team8A y yo, estamos má…"
AccionNacional,"RT @EVillegasV: ¡A Gómez Palacio se le llegó la hora y le vamos a regresar el brillo de la mano de mi amiga, @LetyHerreraAle, próxima presi…"
AccionNacional,"RT @caroviggiano: La cercanía con las personas será una constante en mi gobierno. Hoy visité a Celia Martínez y Julia, quienes tienen mucho…"
AccionNacional,"RT @LauFdzOficial: Este domingo 5 de junio vota por un gobierno 100% quintanarroense, cercano y que siempre nos tienda la mano para #Mejora…"
AccionNacional,"¡Vamos juntos por un México azul, con gobiernos que sí den resultados!

El 5 de junio, #VotaPAN. https://t.co/vKQt5Yv6kN"
AccionNacional,"Con la fuerza de las y los duranguenses, seguiremos defendiendo y pintando de azul Durango.

Este 5 de junio, #VotaPAN para que continúen los avances, los logros y construyamos un mejor futuro para todas y todos con @josejoseantonio en la presidencia municipal.
#OrgulloXDurango https://t.co/t5z0tip4x8"
AccionNacional,"¡Este 5 de junio #VotaPAN para construir juntos #LoQueTantoQueremos para Aguscalientes con @TereJimenezE!

#TereGobernadora https://t.co/4F51cjhNYU"
AccionNacional,"Presentamos una denuncia contra @Claudiashein y @Nora_Ruvalcaba por presuntos delitos electorales, como el uso de programas sociales, triangulación de recursos públicos y movilización de estructuras de otros estados, en favor de la candidata.
https://t.co/obhNLCSt9j"
AccionNacional,"Por un mejor México para ti y tu familia, el próximo domingo #VotaPAN. https://t.co/fHBLAGOhqr"
AccionNacional,"No hay duda, ¡vamos a ganar y seguiremos pintando México de azul!

El 5 de junio, #VotaPAN https://t.co/Y2RW3ku4wQ"
AccionNacional,"RT @GOAN_MX: CONFIANZA = INVERSIONES + EMPLEOS

En Alemania, @MauVila     
firma carta de intención para crear hasta 1,000 nuevos empleos e…"
AccionNacional,"El futuro de Tamaulipas está en tus manos, el 5 de junio vamos a defender lo logrado y lo avanzado en el estado con @TrucoVerastegui.

#DefendamosTamaulipas
#VotaPAN https://t.co/9iilfLLfxG"
AccionNacional,"¡Ya falta poco!
Este 5 de junio, #VotaPAN para defender a México. https://t.co/sgqcefK3gc"
AccionNacional,"Tenemos el mejor proyecto con los mejores candidatos. El 5 de junio, vamos a lograr grandes resultados para ti y tu familia.

#VotaPAN https://t.co/t611DV8Z86"
AccionNacional,"Este 5 de junio, juntos defenderemos a México.

¡Vamos con todo!
#VotaPAN https://t.co/BevF5M7u4t"
AccionNacional,"En equipo, lograremos un #HidALGOMUCHOMEJOR.

Estamos listos, ¡lo mejor está por venir para el estado con @caroviggiano!

#LlegóLaHora
#CaroGobernadora 
#VotaPAN https://t.co/hM64vvITMB"
AccionNacional,"RT @GOAN_MX: En #Chihuahua se exporta calidad de clase mundial

Genera el 13% de las exportaciones en México y es líder en su valor: más de…"
AccionNacional,"Tenemos a las y los mejores candidatos, los mejores proyectos y las mejores propuestas para las familias.

No hay duda, el 5 de junio vamos a ganar.

#VotaPAN https://t.co/Hk9bhq5JPy"
AccionNacional,".@NatyDiazPAN representa el cambio verdadero para Oaxaca, con generación de oportunidades, empleos, desarrollo y bienestar para las familias.

El 5 de junio, #VotaPAN.
#FuerzaYPalabraDeMujer https://t.co/Tso5gXaaWV"
AccionNacional,"RT @EVillegasV: No tengo duda que @josejoseantonio, será el próximo y un gran presidente municipal. Seremos aliados para trazar la ruta de…"
AccionNacional,"RT @josejoseantonio: ¡Los colores no nos dividieron, nos unieron, nos hicieron más fuertes, más decididos; nos han convertido en una sola f…"
AccionNacional,"Ante miles de duranguenses, culminamos la campaña en Durango y en una semana ganaremos con @EVillegasV y @josejoseantonio la gubernatura y la presidencia municipal, con el compromiso de trabajar por más resultados y oportunidades para las familias.

#DefendamosDurango https://t.co/Ws04VUP4Nt"
AccionNacional,"¡Durango ya decidió! El próximo domingo las y los duranguenses reafirmarán su compromiso de continuar generando desarrollo y crecimiento para el estado con @EVillegasV.

#DefendamosDurango #ConTrabajoYValor https://t.co/syhBz4BpUl"
AccionNacional,"¡Vamos con todo por un mejor Durango, con más seguridad y bienestar para tu familia, con mayores oportunidades en el municipio y donde continúen los buenos resultados!

El 5 de junio, #VaPorDurango con @josejoseantonio.

#VotaToño8a https://t.co/E1Y0odccna"
AccionNacional,"Nuestros gobiernos son sinónimo de acciones y resultados.

¡Vamos por más para las familias mexicanas!
#VotaPAN https://t.co/xfbDkF0Z8W"
AccionNacional,"El 5 de junio, ¡vamos juntos a defender a México!

#VotaPAN https://t.co/jHCt7Zsrlc"
AccionNacional,"Este 5 de junio, tenemos la oportunidad de #MejorarEnSerio Quintana Roo y solo lo lograremos con @LauFdzOficial como gobernadora.

¡Vamos con todo!
#VotaPAN https://t.co/TTF4G9cEFM"
AccionNacional,RT @TereJimenezE: Este 5 de junio vota por la mejor opción para Aguascalientes. ¡Vota #TereGobernadora! https://t.co/4nC8a9XaMc
AccionNacional,"RT @TereJimenezE: Agradezco a todas y todos los jóvenes que me han acompañado durante mi campaña, con su energía y entusiasmo dieron vida a…"
AccionNacional,"RT @TrucoVerastegui: ¡El futuro de nuestro estado está en tus manos! 
 Ya ganamos, defendamos tu VOTO. #VotaTruko #DefendamosTamaulipas #Tr…"
AccionNacional,"RT @EVillegasV: En el cierre de campaña, junto a mi amigo, Napoleón Herrera, y próximo presidente municipal, quedó claro que tendremos un g…"
AccionNacional,RT @caroviggiano: Caminar junto a la juventud hidalguense llenó de energía este proyecto. Ya falta poco para que #Hidalgo tenga lo único qu…
AccionNacional,RT @LauFdzOficial: En mi gobierno ni una madre o familia estará sola en el cuidado de sus hijos. El 5 de junio sal a votar 🗳️ para que las…
AccionNacional,"¡Muchas gracias @MaruCampos_G por siempre en tu tiempo libre apoyar a @AccionNacional!

Sin duda, este 5 de junio vamos a ganar y @TereJimenezE será nuestra gobernadora, demostrando una vez más que sí hay de otra forma de gobernar y dar resultados para todas y todos. https://t.co/0YH1IUz0ap"
AccionNacional,"El 5 de junio estarán en juego la libertad y la democracia en México; las y los mexicanos quieren ir a votar con seguridad, libremente, y que sus votos cuenten y se cuenten bien.

En una semana, volveremos a demostrar que en México hay pluralidad política.
https://t.co/qLSY7nnyt0"
AccionNacional,"De la mano de las y los jóvenes aguascalentenses, vamos a construir el mejor gobierno.

En Aguascalientes no solo vamos a ganar con @TereJimenezE, ¡vamos a arrasar!

#VotaPAN
#LoQueTantoQueremos https://t.co/dpXgdYpgEP"
AccionNacional,"El 5 de junio, vamos a devolverle el brillo a #GómezPalacio con @LetyHerreraAle, corregir su rumbo y gobernar bien para todas y todos.

#VotaPAN https://t.co/d4QM2tMzni"
AccionNacional,"¡Juntos #HagamosMás por Lerdo!

Estamos listos para ir con todo a defender el municipio con @HomeroMartinezC y crear mayores oportunidades para las familias. https://t.co/yHPAjvSpmr"
AccionNacional,"¡Vamos con todo a defender Nazas y todo Durango!

Tenemos que mandar un mensaje a todo el país que nosotros sí sabemos dar resultados, cumplir, gobernar bien y lo demostraremos con @EVillegasV en la gubernatura y Coco Palacio en el municipio.

#VotaPAN https://t.co/eoLK1HwPeF"
AccionNacional,"Oaxaca necesita un cambio real, un gobierno que genere desarrollo, oportunidades y crecimiento para el estado.

Con @NatyDiazPAN, ¡vamos a lograrlo!
#VotaPAN https://t.co/hyXU1kkvcd"
AccionNacional,"Las y los hidalguenses merecen tener a la primera gobernadora en la persona de @caroviggiano.

No hay duda, Caro ha ganado la campaña, ganó los debates y vamos a ganar la elección el próximo 5 de junio. https://t.co/hYF5OUCtZJ"
AccionNacional,"Para #MejorarEnSerio Quintana Roo, este 5 de junio vayamos juntos a pintar el Congreso de azul.

#VotaPAN por las y los diputados locales de los 15 distritos del estado. https://t.co/ruovDO9sBJ"
AccionNacional,"Este 5 de junio, #VotaPAN para defender a México y que las familias puedan salir adelante. https://t.co/O9clLc7qZn"
AccionNacional,"En Hidalgo, nuestro presiente @MarkoCortes hizo un llamado a las y los hidalguenses a juntos levantarle la mano a @caroviggiano, a que voten por ella, que su voto sea útil y determinante para que lo peor de la política no venga a este estado. https://t.co/Nj7bJGiYc4"
AccionNacional,"Se encontró en Tamaulipas un vehículo de la Cámara de Diputados con propaganda para apoyar la campaña de @Dr_AVillarreal. Morena no se cansa de violar la ley ni de desviar recursos públicos a sus campañas, pero nosotros no nos cansaremos de denunciarlos.
👉🏼https://t.co/YsufJDL4n9 https://t.co/MEGvJpuK27"
AccionNacional,"RT @MarkoCortes: Siguen los #CuentosDeMorena, prometen lo que ellos mismos le acaban de quitar a la gente, mienten con cinismo desbordado.…"
AccionNacional,"RT @GOAN_MX: Sí es posible generar crecimiento económico y empleos.
 
#Durango creció la cifra histórica de 5.6% y generó 15 mil 68 empleos…"
AccionNacional,"Por ti y tu familia, por su bienestar y desarrollo, ¡vamos con todo con @caroviggiano por un Hidalgo mucho mejor!

El próximo 5 de junio, #VotaPAN. https://t.co/hFCUeqDtP8"
AccionNacional,"RT @TereJimenezE: Faltan 10 días para que lo que tanto queremos llegue a Aguascalientes. El 5 de junio, salgamos con alegría. ¡Vota por #Te…"
AccionNacional,RT @TrucoVerastegui: Matamoros siempre ha sido tierra de héroes y por eso vamos a defender la ciudad. Este 5 de junio VOTA para que juntos…
AccionNacional,RT @EVillegasV: ¡Una gran fiesta se vivió en Guadalupe Victoria! La energía y la fuerza que acompaña esta gran Alianza nos dará la victoria…
AccionNacional,"RT @LauFdzOficial: Esta campaña ha sido de sumar voluntades y esfuerzos. Hoy las manifestaciones de otros candidatos, es porque ven qué se…"
AccionNacional,RT @caroviggiano: ¡A #Hidalgo ya le #LlegóLaHora de tener gobernadora! Ganamos el debate y el próximo 5 de junio ganaremos la elección para…
AccionNacional,"#CaroGanóElDebate porque es la única con propuestas claras y tiene el compromiso de construir un #HidalgoMuchoMejor.

Así como hoy, el 5 de junio @caroviggiano va a ganar la elección y se convertirá en la primera gobernadora del estado.

#CaroGobernadora 
#VotaPAN https://t.co/0FA7y18LqO"
AccionNacional,"¡Ya falta poco!

Este 5 de junio, defendamos a México.
#VotaPAN https://t.co/Xikzu98bCZ"
AccionNacional,"Nada ni nadie nos detendrá en nuestra lucha para defender a México.

¡Vamos juntos hasta la victoria!
#VotaPAN https://t.co/ouc2SwYw6x"
AccionNacional,"De la mano con las y los jóvenes, vamos a construir un mejor México.

Este 5 de junio, #VotaPAN. https://t.co/s7rfgjZnNa"
AccionNacional,"¡Vamos juntos a construir #LoQueTantoQueremos para Aguscalientes y sus familias!

Con @TereJimenezE como la primera gobernadora, continuarán los avances, el desarrollo y crecimiento para todas y todos. https://t.co/xZINXFLtXx"
